id,name,value
1,API,no
2,Cl,no
3,Cht,ok
4,Cmu,no
5,Mny,no
6,Ngx,no
7,PG,no
8,Rou,ok
9,SH,no
10,UI,ok
11,Up,ok
12,Wlt,no
13,local,no
