id,name,value
1,铭,no
2,浙工,no
3,智科,ok
4,嵌系,no
5,鲁程,no
6,移动,ok
7,绩点,ok
8,学执,ok
9,运维,no
10,脚自,ok
11,测档,no
12,工单,no
13,标流,ok
14,可靠,no
15,构表,no
16,风险,no
17,合规,no
18,稳定,no
19,系统,ok
20,平台,no
21,经验,no
22,意志,ok
23,辩赛,ok
24,凝聚,ok
25,先序,no
26,升报,ok
